Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
BETPAP_GR_5,1,,,,,7,7,7,7,9,9,9,9,9,11,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,,,,,,,,,,100,100,100,100
ALNINC_SH_1,1,,,,,,,,7,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,m,,,,,,,,,100,100,100
BETPAP_SH_1A,1,,,,,,,7,7,9,9,9,9,9,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
ALNINC_GR_11,1,,,,,,,,,,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101
BETPOP_WM_7,1,,,,,,,,7,9,9,9,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETALL_WM_8,1,,,,",7",7,7,7,7,,7,7,9,9,9,11,17,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
ALNINC_WM_2A,1,,,,,,,,,,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
BETPOP_HF_3,1,,,,,,,,,,,7,9,9,9,"62M/F,19","69-M,65-F,19",69-F,,,,,,,,,71,72,74,75,75,77,77,78,78,"78,100","78,100,100-m","78,100.100-m","78,100,100-m","78,100,100-m","79, 100-m","79,100,100-m","81,100,100-m","85,100,100-m","88,100,100-m","89,100-m,100"
BETALL_GR_13,1,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
ALNINC_WM_5,1,,,,,,,,,,7,7,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,"100,100-m","100,100-m","100,100-m"
ALNINC_WM_1,1,,,,,,,,,,7,7,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
ALNINC_HF_2,1,,,,,,,,,,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,79,79,79,79,"79,100-m","79,100-m","79,100-m","79, 100-m","79,100-m","81,100-m","85,100-m,100","101,100-m,88","88,100-m"
ALNINC_HF_1,1,,,,,55-F,,,,,,,9,11,15,17,"69-F,19",,,,,,,71,71,72,72,75,75,76,76,77,77,"79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m",79-100-m,"79,100-m","79, 100-m","79,100-m","81,100-m","88,100-m,100","101,88,100-m","100-m,88"
BETALL_GR_12,1,,,,,,,,,,,,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETPOP_GR_5,1,,,,,,,,,7,7,7,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
BETPAP_SH_1B,1,,,,,,,,7,7,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ALNINC_WM_2B,1,"51-M,","60-M,","69-M,",,69-M,"69-M,",,,9,11,11,11,11,17,19,19,,,,,,,,,,,,,,,,,"79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79, 100-m","79,100-m","79,100-m","81,100-m,100","85,100,100-m","85,100,100-m"
ALNINC_SH_4,2,"65-M,","67-M,",69-M,,,,,7,,9,9,9,11,"67-F,17","69,19","69,19",,,,,,71,75,75,75,75,77,77,78,78,79,79,79,"79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79, 100-m","79,100-m","81,100-m,100","85,100-m,100","88,100,100-m","88,100,100-m"
ALNINC_SH_5,2,,,,,,,,,,7,7,9,"51,11",17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100,100-m","101,100-m",100-m,100-m
AMECAN_WM_1,2,THIS IS SPI,,,,7,9,9,11,11,11,11,15,15,17,19,19,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_GR_5A,2,,,,,,,7,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
BETALL_GR_13,2,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,101
ALNINC_WM_5A,2,"51-M,","60-M,",69-M,,,,,9,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100,100-m","100-m,101"
BETPAP_HF_16,2,,,,,,,,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETPOP_HF_5,2,,,,,,,,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
ACEPEN_HF_12,2,,,,rep,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP_WM_7,2,,,,,,,,7,7,7,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ACEPEN_WM_5,2,,,,,,,7,7,9,9,9,9,11,11,15,"65,17","67,19",67,67,69,,,,,,,,,,,,,,,,100,100,100,100,100,100,dead,,100,100
BETPAP_GR_5B,2,,,,,,,7,,9,9,9,9,9,11,17,17,17,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101
ALNINC_HF_9,2,"51-M,","51-M,",69-M,,,,,7,,7,9,9,11,"69-F,15",17,"69-F,19",,,,,,71,78,78,78,78,78,78,78,78,79,79,79,79,79,"79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","81,100-m,100","85,100-m,100","88,100-m,101","100-m,88"
BETPOP_HF_1,2,,,,,,,7,,7,9,9,9,11,15,19,"65-F,19",,,,,,,,,,,71,72,74,74,76,76,77,77,78,79,79,79,79,79,79,"81,100","88,100","88,100","88,100"
AMECAN_GR_10,2,,,,,,,9,9,9,9,9,11,"51,11","51,15","65,19","67,19",69,71,,78,78,78,79,79,79,79,79,79,79,,,,,100,100,100,100,101,,,,,,,
ALNINC_WM_5B,2,,,,,,,,7-D,7,7,7,9,11,15,17,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100"
ACEPEN_HF_12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL_GR_9,3,,,,,,,7,7,7,7,7,9,9,9,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
BETPAP_HF_16,3,,,,,,,,,7,7,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101
AMECAN_GR_10A,3,,,,,,9,9,9,9,9,9,11,"51,11","51,15","65,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,79,,,100,100,100,101,,,,,,,,,,
ALNINC_GR_11A,3,,,,,,,,,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETALL_SH_4,3,,,,,,,,7,9,9,9,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETPOP_GR_5A,3,,,,,,,,,9,9,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETALL_GR_12,3,,,,,,,,,7,7,7,9,9,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100
ALNINC_SH_5,3,,,,,69-F,,,7-D,,7,7,9,11,15,19,19,,,,,,,71,,75,75,77,77,78,78,79,"79,100-m","79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","81,100-m","85,100-m,100","88,100-m,100","88,100-m,100"
BETPAP_GR_8,3,,,,,,,,7-D,9,9,9,9,11,11,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
AMECAN_GR_10B,3,,,,,,,9,9,9,9,11,11,"51,11","51,17","65,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,79,87,89,,,,100,100,100,100,,101,,,,,
BETALL_GR_1,3,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101
BETPOP_HF_1,3,,,,,,,,,7,7,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ALNINC_GR_1,3,,,,,,,,7-D,7-D,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,101",100-m
