Plant ID Tag,Species,Provenance
AMECAN_GR_10,Amelanchier canadensis,
AMECAN_GR_10A,Amelanchier canadensis,
AMECAN_GR_10B,Amelanchier canadensis,
AMECAN_SH_2,Amelanchier canadensis,
AMECAN_SH_3,Amelanchier canadensis,
AMECAN_SH_4A,Amelanchier canadensis,
AMECAN_SH_4B,Amelanchier canadensis,
AMECAN_WM_1,Amelanchier canadensis,
AROMEL_HF_10,Aronia melanocarpa,
AROMEL_HF_12A,Aronia melanocarpa,
AROMEL_HF_12B,Aronia melanocarpa,
AROMEL_HF_13,Aronia melanocarpa,
AROMEL_HF_4A,Aronia melanocarpa,
AROMEL_HF_4B,Aronia melanocarpa,
AROMEL_HF_8A,Aronia melanocarpa,
AROMEL_HF_8B,Aronia melanocarpa,
AROMEL_WM_15,Aronia melanocarpa,
AROMEL_WM_2A,Aronia melanocarpa,
AROMEL_WM_2B,Aronia melanocarpa,
AROMEL_WM_5A,Aronia melanocarpa,
AROMEL_WM_5B,Aronia melanocarpa,
AROMEL_WM_7A,Aronia melanocarpa,
AROMEL_WM_7B,Aronia melanocarpa,
MYRGAL_GR_8A,Myrica gale,
MYRGAL_GR_8B,Myrica gale,
MYRGAL_GR_8C,Myrica gale,
MYRGAL_GR_8D,Myrica gale,
MYRGAL_SH_1,Myrica gale,
MYRGAL_SH_1A,Myrica gale,
MYRGAL_SH_1B,Myrica gale,
MYRGAL_SH_2,Myrica gale,
MYRGAL_SH_2A,Myrica gale,
MYRGAL_SH_2B,Myrica gale,
MYRGAL_SH_99,Myrica gale,
MYRGAL_WM_6,Myrica gale,
MYRGAL_WM_6AA,Myrica gale,
MYRGAL_WM_6AB,Myrica gale,
MYRGAL_WM_6AC,Myrica gale,
MYRGAL_WM_6BA,Myrica gale,
MYRGAL_WM_6BB,Myrica gale,
MYRGAL_WM_6BC,Myrica gale,
SAMRAC_GR_1,Sambucus racemosa,
SAMRAC_GR_2,Sambucus racemosa,
SAMRAC_GR_4B,Sambucus racemosa,
SAMRAC_GR_4C,Sambucus racemosa,
SAMRAC_GR_4A,Sambucus racemosa,
SAMRAC_GR_7,Sambucus racemosa,
SAMRAC_GR_7A,Sambucus racemosa,
SAMRAC_GR_7B,Sambucus racemosa,
SAMRAC_GR_8,Sambucus racemosa,
SAMRAC_GR_9,Sambucus racemosa,
SAMRAC_HF_A,Sambucus racemosa,
SAMRAC_HF_AB,Sambucus racemosa,
SAMRAC_HF_B,Sambucus racemosa,
SAMRAC_HF_BA,Sambucus racemosa,
SAMRAC_HF_C,Sambucus racemosa,
SAMRAC_HF_D,Sambucus racemosa,
SPIALB_GR_12,Spiraea alba,
SPIALB_GR_12A,Spiraea alba,
SPIALB_GR_12B,Spiraea alba,
SPIALB_GR_3A,Spiraea alba,
SPIALB_GR_3B,Spiraea alba,
SPIALB_GR_5,Spiraea alba,
SPIALB_GR_7,Spiraea alba,
SPIALB_GR_9,Spiraea alba,
SPIALB_HF_1,Spiraea alba,
