"Individual","Plot","ht.diff","rgr","ind_plot","spp","year","provenance.lat","provenance.long","budburst","leafout","risk","bb.avg","dvr.avg","lo.avg","lo.sd","growthform"
"BETPAP_GR_5",1,92.2,8.58611620287477,"BETPAP_GR_5 1","BETPAP",2019,44.794942,-71.146683,107,127,20,105,50.5,155.5,40.3050865276332,"tree"
"BETPAP_GR_5",1,92.2,8.58611620287477,"BETPAP_GR_5 1","BETPAP",2018,44.794942,-71.146683,103,184,81,105,50.5,155.5,40.3050865276332,"tree"
"ALNINC_SH_1",1,172.7,9.70807694550707,"ALNINC_SH_1 1","ALNINC",2019,45.932675,-74.02507,93,119,26,98,23.5,121.5,3.53553390593274,"tree"
"ALNINC_SH_1",1,172.7,9.70807694550707,"ALNINC_SH_1 1","ALNINC",2018,45.932675,-74.02507,103,124,21,98,23.5,121.5,3.53553390593274,"tree"
"BETPAP_SH_1A",1,147.4,6.59027359757565,"BETPAP_SH_1A 1","BETPAP",2019,45.932675,-74.02507,112,129,17,107.5,21,128.5,0.707106781186548,"tree"
"BETPAP_SH_1A",1,147.4,6.59027359757565,"BETPAP_SH_1A 1","BETPAP",2018,45.932675,-74.02507,103,128,25,107.5,21,128.5,0.707106781186548,"tree"
"ALNINC_GR_11",1,142.71,6.01532476205936,"ALNINC_GR_11 1","ALNINC",2019,44.794942,-71.146683,97,115,18,102,17.5,119.5,6.36396103067893,"tree"
"ALNINC_GR_11",1,142.71,6.01532476205936,"ALNINC_GR_11 1","ALNINC",2018,44.794942,-71.146683,107,124,17,102,17.5,119.5,6.36396103067893,"tree"
"BETPOP_WM_7",1,195.46,6.88725655302068,"BETPOP_WM_7 1","BETPOP",2019,44.112337,-71.230138,97,112,15,100,18,118,8.48528137423857,"tree"
"BETPOP_WM_7",1,195.46,6.88725655302068,"BETPOP_WM_7 1","BETPOP",2018,44.112337,-71.230138,103,124,21,100,18,118,8.48528137423857,"tree"
"BETALL_WM_8",1,170.92,8.11483178645238,"BETALL_WM_8 1","BETALL",2019,44.112337,-71.230138,112,135,23,113,23.5,136.5,2.12132034355964,"tree"
"BETALL_WM_8",1,170.92,8.11483178645238,"BETALL_WM_8 1","BETALL",2018,44.112337,-71.230138,114,138,24,113,23.5,136.5,2.12132034355964,"tree"
"ALNINC_WM_2A",1,251.14,11.0809865291855,"ALNINC_WM_2A 1","ALNINC",2019,44.112337,-71.230138,100,112,12,103.5,14.5,118,8.48528137423857,"tree"
"ALNINC_WM_2A",1,251.14,11.0809865291855,"ALNINC_WM_2A 1","ALNINC",2018,44.112337,-71.230138,107,124,17,103.5,14.5,118,8.48528137423857,"tree"
"BETPOP_HF_3",1,105.4,3.53931457992982,"BETPOP_HF_3 1","BETPOP",2019,42.531705,-72.18992,112,127,15,113,12.5,125.5,2.12132034355964,"tree"
"BETPOP_HF_3",1,105.4,3.53931457992982,"BETPOP_HF_3 1","BETPOP",2018,42.531705,-72.18992,114,124,10,113,12.5,125.5,2.12132034355964,"tree"
"BETALL_GR_13",1,100.7,5.49794373704568,"BETALL_GR_13 1","BETALL",2019,44.794942,-71.146683,107,127,20,110.5,17,127.5,0.707106781186548,"tree"
"BETALL_GR_13",1,100.7,5.49794373704568,"BETALL_GR_13 1","BETALL",2018,44.794942,-71.146683,114,128,14,110.5,17,127.5,0.707106781186548,"tree"
"ALNINC_WM_1",1,249.4,13.0809879203385,"ALNINC_WM_1 1","ALNINC",2019,44.112337,-71.230138,100,123,23,107,16.5,123.5,0.707106781186548,"tree"
"ALNINC_WM_1",1,249.4,13.0809879203385,"ALNINC_WM_1 1","ALNINC",2018,44.112337,-71.230138,114,124,10,107,16.5,123.5,0.707106781186548,"tree"
"ALNINC_HF_2",1,195.37,11.2369361810907,"ALNINC_HF_2 1","ALNINC",2019,42.531705,-72.18992,107,129,22,110.5,16,126.5,3.53553390593274,"tree"
"ALNINC_HF_2",1,195.37,11.2369361810907,"ALNINC_HF_2 1","ALNINC",2018,42.531705,-72.18992,114,124,10,110.5,16,126.5,3.53553390593274,"tree"
"ALNINC_WM_5",1,214.3,8.43846376806834,"ALNINC_WM_5 1","ALNINC",2019,44.112337,-71.230138,97,112,15,105.5,12.5,118,8.48528137423857,"tree"
"ALNINC_WM_5",1,214.3,8.43846376806834,"ALNINC_WM_5 1","ALNINC",2018,44.112337,-71.230138,114,124,10,105.5,12.5,118,8.48528137423857,"tree"
"ALNINC_HF_1",1,149.86,5.95055055513142,"ALNINC_HF_1 1","ALNINC",2019,42.531705,-72.18992,107,119,12,110.5,13,123.5,6.36396103067893,"tree"
