"","id","species","provenance","lat","long","spp","plot","year","bb","lo","flo","fruit","ripe","risk","ripening","flowers"
"1","AMECAN_GR_10","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",2,2018,96,124,NA,131,151,28,20,NA
"2","AMECAN_GR_10","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",6,2018,103,124,124,131,159,21,28,7
"3","AMECAN_GR_10A","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",3,2018,93,124,NA,131,151,31,20,NA
"4","AMECAN_GR_10A","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",5,2018,103,124,124,131,151,21,20,7
"5","AMECAN_GR_10B","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",3,2018,96,124,NA,131,151,28,20,NA
"6","AMECAN_GR_10B","Amelanchier canadensis","GR",44.794942,-71.146683,"AMECAN",5,2018,103,124,NA,131,151,21,20,NA
"7","AMECAN_SH_2","Amelanchier canadensis","SH",45.932675,-74.02507,"AMECAN",6,2018,110,131,NA,NA,NA,21,NA,NA
"8","AMECAN_SH_3","Amelanchier canadensis","SH",45.932675,-74.02507,"AMECAN",15,2018,103,124,NA,NA,NA,21,NA,NA
"9","AMECAN_SH_4A","Amelanchier canadensis","SH",45.932675,-74.02507,"AMECAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AMECAN_SH_4B","Amelanchier canadensis","SH",45.932675,-74.02507,"AMECAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AMECAN_WM_1","Amelanchier canadensis","WM",44.112337,-71.230138,"AMECAN",2,2018,93,124,NA,138,NA,31,NA,NA
"12","AROMEL_HF_10","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",8,2018,96,124,NA,145,173,28,28,NA
"13","AROMEL_HF_12A","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","AROMEL_HF_12B","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AROMEL_HF_13","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",14,2018,NA,135,NA,NA,159,NA,NA,NA
"16","AROMEL_HF_4A","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AROMEL_HF_4B","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AROMEL_HF_8A","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",11,2018,NA,135,NA,145,173,NA,28,NA
"19","AROMEL_HF_8B","Aronia melanocarpa","HF",42.531705,-72.18992,"AROMEL",11,2018,NA,138,NA,145,173,NA,28,NA
"20","AROMEL_WM_15","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",4,2018,96,124,124,145,NA,28,NA,21
"21","AROMEL_WM_2A","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AROMEL_WM_2B","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AROMEL_WM_5A","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AROMEL_WM_5B","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","AROMEL_WM_7A","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AROMEL_WM_7B","Aronia melanocarpa","WM",44.112337,-71.230138,"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","MYRGAL_GR_8A","Myrica gale","GR",44.794942,-71.146683,"MYRGAL",4,2018,116,131,NA,NA,NA,15,NA,NA
"28","MYRGAL_GR_8B","Myrica gale","GR",44.794942,-71.146683,"MYRGAL",4,2018,116,131,NA,NA,NA,15,NA,NA
"29","MYRGAL_GR_8C","Myrica gale","GR",44.794942,-71.146683,"MYRGAL",4,2018,114,124,NA,NA,NA,10,NA,NA
