Individual,Plot,Species,Provenance,prov.lat,prov.long,Dry Mass of Flower (g),BB.time,leafout,flo.time.start,fru.time.start,Height,Width,Cross.Sectional.Area,ht.diff
AMECAN_GR_10,2,Amelanchier canadensis,Grant,44.794942,-71.146683,,112,135,NA,NA,87,20,314,-18.6
AMECAN_GR_10A,3,Amelanchier canadensis,Grant,44.794942,-71.146683,,97,112,112,140,348,NA,NA,57.6
AMECAN_GR_10B,3,Amelanchier canadensis,Grant,44.794942,-71.146683,,93,112,112,140,309.8,NA,NA,68.4
VIBCAS_SH_1,4,Viburnum cassenoides,Saint-Hippolyte,45.932675,-74.02507,,100,115,155,165,86.8,88.4,6134.4296,65.6
VIBCAS_GR_9,4,Viburnum cassenoides,Grant,44.794942,-71.146683,,103,112,150,168,140,118,10930.34,54.2
SPIALB_GR_12,4,Spiraea alba,Grant,44.794942,-71.146683,,97,112,165,183,67.2,79.6,4973.8856,-21.2
SPITOM_WM_5A,4,Spiraea tomentosa,White Mountains,44.112337,-71.230138,0.001,100,115,197,NA,81,124,12070.16,-23.4
SPIALB_WM_2A,4,Spiraea alba,White Mountains,44.112337,-71.230138,,97,115,179,183,90,78,4775.94,-29.4
MYRGAL_SH_1A,4,Myrica gale,Saint-Hippolyte,45.932675,-74.02507,0.001333333,112,119,93,NA,32.2,152.4,18232.2216,12.6
AROMEL_WM_2,4,Aronia melanocarpa,White Mountains,44.112337,-71.230138,,93,129,135,150,87,102,8167.14,43.6
SPIALB_SH_9A,4,Spiraea alba,Saint-Hippolyte,45.932675,-74.02507,,93,112,161,183,68,109,9326.585,-61.6
SPITOM_WM_5B,4,Spiraea tomentosa,White Mountains,44.112337,-71.230138,,97,115,193,197,96.8,151.8,18088.9434,36.6
MYRGAL_SH_2A,4,Myrica gale,Saint-Hippolyte,45.932675,-74.02507,0.0016,112,115,93,NA,137.6,134.2,14137.5674,7
MYRGAL_GR_8A,4,Myrica gale,Grant,44.794942,-71.146683,,112,119,100,NA,136,123,11876.265,26.6
SPIALB_HF_1,4,Spiraea alba,Harvard Forest,42.531705,-72.18992,,93,112,179,183,65,63,3115.665,-17.4
SPIALB_WM_2B,4,Spiraea alba,White Mountains,44.112337,-71.230138,,97,115,179,183,173.2,230.8,41815.8824,49.2
SPITOM_SH_99,4,Spiraea tomentosa,Saint-Hippolyte,45.932675,-74.02507,0.0022,100,119,190,197,120,80,5024,79.6
MYRGAL_GR_8B,4,Myrica gale,Grant,44.794942,-71.146683,0.001666667,123,150,142,NA,121,79,4899.185,28.9
SPITOM_SH_9,4,Spiraea tomentosa,Saint-Hippolyte,45.932675,-74.02507,0.000895,107,119,190,197,187,76,4534.16,63.4
SPITOM_WM_5C,4,Spiraea tomentosa,White Mountains,44.112337,-71.230138,,97,115,190,197,168.2,189.6,28219.3056,70.6
SPIALB_SH_8,4,Spiraea alba,Saint-Hippolyte,45.932675,-74.02507,0.001833333,93,112,183,183,145,132,13677.84,67
MYRGAL_SH_1B,4,Myrica gale,Saint-Hippolyte,45.932675,-74.02507,0.00055375,112,135,97,168,125,150,17662.5,121.8
SPIALB_GR_3,4,Spiraea alba,Grant,44.794942,-71.146683,0.00062,97,112,179,183,86,95,7084.625,74.8
VIBCAS_WM_4,4,Viburnum cassenoides,White Mountains,44.112337,-71.230138,0.00125,103,115,155,168,94,92,6644.24,74.6
VIBCAS_GR_12A,4,Viburnum cassenoides,Grant,44.794942,-71.146683,,100,115,150,165,182.4,185.5,27012.04625,38.5
MYRGAL_WM_6A,4,Myrica gale,White Mountains,44.112337,-71.230138,0.0018,112,127,112,168,170.7,158,19596.74,47.3
AROMEL_WM_15,4,Aronia melanocarpa,White Mountains,44.112337,-71.230138,,97,129,123,147,72,95,7084.625,29
SPIALB_SH_4A,4,Spiraea alba,Saint-Hippolyte,45.932675,-74.02507,,93,112,168,183,136.2,185.5,27012.04625,99.2
SPIALB_SH_7,4,Spiraea alba,Saint-Hippolyte,45.932675,-74.02507,0.013,93,115,168,183,131,81.2,5175.8504,84.1
MYRGAL_WM_6B,4,Myrica gale,White Mountains,44.112337,-71.230138,,112,127,115,168,146,139,15166.985,8.8
SPIALB_GR_7,4,Spiraea alba,Grant,44.794942,-71.146683,0.0016,93,112,168,183,151,143,16052.465,21.4
SPIALB_SH_4B,4,Spiraea alba,Saint-Hippolyte,45.932675,-74.02507,0.00175,93,115,165,183,73,95,7084.625,48.2
SPIALB_WM_7A,4,Spiraea alba,White Mountains,44.112337,-71.230138,0.0276,97,112,179,183,161,140,15386,64.6
