"Individual","Plot","year","leafout","BB.time","fru.time.start","prov.lat","Species","ht.diff"
"AMECAN_GR_10",2,2019,135,112,NA,44.794942,"Amelanchier canadensis",-18.6
"AMECAN_GR_10A",3,2019,112,97,140,44.794942,"Amelanchier canadensis",57.6
"AMECAN_GR_10B",3,2019,112,93,140,44.794942,"Amelanchier canadensis",68.4
"VIBCAS_SH_1",4,2019,115,100,165,45.932675,"Viburnum cassenoides",65.6
"VIBCAS_GR_9",4,2019,112,103,168,44.794942,"Viburnum cassenoides",54.2
"SPIALB_GR_12",4,2019,112,97,183,44.794942,"Spiraea alba",-21.2
"SPITOM_WM_5A",4,2019,115,100,NA,44.112337,"Spiraea tomentosa",-23.4
"SPIALB_WM_2A",4,2019,115,97,183,44.112337,"Spiraea alba",-29.4
"MYRGAL_SH_1A",4,2019,119,112,NA,45.932675,"Myrica gale",12.6
"AROMEL_WM_2",4,2019,129,93,150,44.112337,"Aronia melanocarpa",43.6
"SPIALB_SH_9A",4,2019,112,93,183,45.932675,"Spiraea alba",-61.6
"SPITOM_WM_5B",4,2019,115,97,197,44.112337,"Spiraea tomentosa",36.6
"MYRGAL_SH_2A",4,2019,115,112,NA,45.932675,"Myrica gale",7
"MYRGAL_GR_8A",4,2019,119,112,NA,44.794942,"Myrica gale",26.6
"SPIALB_HF_1",4,2019,112,93,183,42.531705,"Spiraea alba",-17.4
"SPIALB_WM_2B",4,2019,115,97,183,44.112337,"Spiraea alba",49.2
"SPITOM_SH_99",4,2019,119,100,197,45.932675,"Spiraea tomentosa",79.6
"MYRGAL_GR_8B",4,2019,150,123,NA,44.794942,"Myrica gale",28.9
"SPITOM_SH_9",4,2019,119,107,197,45.932675,"Spiraea tomentosa",63.4
"SPITOM_WM_5C",4,2019,115,97,197,44.112337,"Spiraea tomentosa",70.6
"SPIALB_SH_8",4,2019,112,93,183,45.932675,"Spiraea alba",67
"MYRGAL_SH_1B",4,2019,135,112,168,45.932675,"Myrica gale",121.8
"SPIALB_GR_3",4,2019,112,97,183,44.794942,"Spiraea alba",74.8
"VIBCAS_WM_4",4,2019,115,103,168,44.112337,"Viburnum cassenoides",74.6
"VIBCAS_GR_12A",4,2019,115,100,165,44.794942,"Viburnum cassenoides",38.5
"MYRGAL_WM_6A",4,2019,127,112,168,44.112337,"Myrica gale",47.3
"AROMEL_WM_15",4,2019,129,97,147,44.112337,"Aronia melanocarpa",29
"SPIALB_SH_4A",4,2019,112,93,183,45.932675,"Spiraea alba",99.2
"SPIALB_SH_7",4,2019,115,93,183,45.932675,"Spiraea alba",84.1
"MYRGAL_WM_6B",4,2019,127,112,168,44.112337,"Myrica gale",8.8
"SPIALB_GR_7",4,2019,112,93,183,44.794942,"Spiraea alba",21.4
"SPIALB_SH_4B",4,2019,115,93,183,45.932675,"Spiraea alba",48.2
"SPIALB_WM_7A",4,2019,112,97,183,44.112337,"Spiraea alba",64.6
"VIBCAS_GR_12B",4,2019,115,103,NA,44.794942,"Viburnum cassenoides",55.4
"MYRGAL_GR_8C",4,2019,NA,112,NA,44.794942,"Myrica gale",27.2
"SPIALB_HF_8",4,2019,112,93,183,42.531705,"Spiraea alba",72.1
"SPITOM_WM_5D",4,2019,119,97,197,44.112337,"Spiraea tomentosa",39.8
"SPIALB_SH_1",4,2019,112,97,183,45.932675,"Spiraea alba",54.5
"MYRGAL_SH_2B",4,2019,129,112,NA,45.932675,"Myrica gale",21.4
"VIBCAS_SH_5",4,2019,112,103,168,45.932675,"Viburnum cassenoides",73.2
"MYRGAL_GR_8D",4,2019,135,112,NA,44.794942,"Myrica gale",32.8
"SPIALB_WM_7B",4,2019,112,93,183,44.112337,"Spiraea alba",39.8
"SPITOM_WM_5E",4,2019,119,103,197,44.112337,"Spiraea tomentosa",55.2
"AROMEL_WM_5",4,2019,142,NA,NA,44.112337,"Aronia melanocarpa",2.4
"SPIALB_SH_9B",4,2019,115,97,183,45.932675,"Spiraea alba",46.6
"VIBCAS_GR_10",4,2019,115,97,161,44.794942,"Viburnum cassenoides",37.6
"AMECAN_GR_10A",5,2019,135,119,NA,44.794942,"Amelanchier canadensis",-12.4
"AMECAN_SH_4",5,2019,112,93,135,45.932675,"Amelanchier canadensis",49.9
"AMECAN_GR_10B",5,2019,119,93,135,44.794942,"Amelanchier canadensis",-7.8
"AMECAN_SH_4",6,2019,112,93,140,45.932675,"Amelanchier canadensis",88
"AMECAN_GR_10",6,2019,112,93,140,44.794942,"Amelanchier canadensis",77.4
"SAMRAC_GR_2",7,2019,112,93,135,44.794942,"Sambucus racemosa",84.2
"SAMRAC_GR_7A",7,2019,112,93,135,44.794942,"Sambucus racemosa",49.4
